carBrandId,carBrandName,carBrandUrl,carModelId,carModelName,carModelUrl,carVariantId,carVariantName,bodyType,price,priceRange,maleClick,femaleClick,totalClick
RtkrQSFwXbLcBlGq4gFr,Proton,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fproton.png?alt=media&token=832378ba-5728-4308-a12c-c71ca2eea352,QLOPtWTX6EzICz3z1Ek0,Iriz,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FProtonIriz.jpg?alt=media&token=27656965-9244-48db-bef8-10f0a2d105ec,dMqdKblxOl2PXBXCv8bz,2021 1.6 Active CVT,Hatchback,"RM 54,000",0<80000,0,0,0
RtkrQSFwXbLcBlGq4gFr,Proton,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fproton.png?alt=media&token=832378ba-5728-4308-a12c-c71ca2eea352,QLOPtWTX6EzICz3z1Ek0,Iriz,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FProtonIriz.jpg?alt=media&token=27656965-9244-48db-bef8-10f0a2d105ec,hxFGNe3gwLo5gMrA4Qat,2021 1.6 Executive CVT,Hatchback,"RM 47,100",0<80000,0,0,0
RtkrQSFwXbLcBlGq4gFr,Proton,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fproton.png?alt=media&token=832378ba-5728-4308-a12c-c71ca2eea352,oTHbTqc5waM38uHQNoGd,Persona,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FProtonPersona.jpg?alt=media&token=ee5123a2-a98d-45e6-861e-6841f70ff6fb,hGnyydJxiL13bHaNpCDQ,2021 1.6 Executive CVT,Sedan,"RM 50,100",0<80000,0,0,0
RtkrQSFwXbLcBlGq4gFr,Proton,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fproton.png?alt=media&token=832378ba-5728-4308-a12c-c71ca2eea352,oTHbTqc5waM38uHQNoGd,Persona,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FProtonPersona.jpg?alt=media&token=ee5123a2-a98d-45e6-861e-6841f70ff6fb,qx3lDaiepndya4Gri6zh,2021 1.6 Premium CVT,Sedan,"RM 54,900",0<80000,0,0,0
RtkrQSFwXbLcBlGq4gFr,Proton,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fproton.png?alt=media&token=832378ba-5728-4308-a12c-c71ca2eea352,vkDO8kYV7uPhiC90xOVr,Saga,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FProtonSaga.jpg?alt=media&token=f9704f07-ff65-48e1-97bc-238af1392f34,7GlZTbK8JSHXXZjGsSMK,2019 1.3L Standard AT,Sedan,"RM 35,800",0<80000,0,0,0
RtkrQSFwXbLcBlGq4gFr,Proton,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fproton.png?alt=media&token=832378ba-5728-4308-a12c-c71ca2eea352,vkDO8kYV7uPhiC90xOVr,Saga,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FProtonSaga.jpg?alt=media&token=f9704f07-ff65-48e1-97bc-238af1392f34,KRWgrwUWvCa500NhconR,2019 1.3L Premium AT,Sedan,"RM 39,800",0<80000,0,0,0
W35VX8Tryiv1dI3Tt7aN,Kia,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fkia.png?alt=media&token=78a5b19d-3ca7-4ca9-89f0-6975bafc9b5e,7dlDrFpWhmCIMl79HqJT,Cerato,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FKiaCerato.jpg?alt=media&token=71f53bc0-5f94-4178-8b4d-63b617cc858d,WjvpubH2xiQD90V6AyW7,2020 1.6 SX,Sedan,"RM 99,214",80001<100000,0,0,0
W35VX8Tryiv1dI3Tt7aN,Kia,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fkia.png?alt=media&token=78a5b19d-3ca7-4ca9-89f0-6975bafc9b5e,KSJ4mqSqjXJJ7IJdUeee,Picanto,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FKiaPicanto.jpg?alt=media&token=f1ad3645-328b-4fab-9b0c-14113423c121,bI0k4O2NZh38MPaVLogs,2019 1.2 EX AT,Hatchback," RM 49,888",0<80000,0,0,0
W35VX8Tryiv1dI3Tt7aN,Kia,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fkia.png?alt=media&token=78a5b19d-3ca7-4ca9-89f0-6975bafc9b5e,euVqJZzt2kUeouQ6I0ha,Seltos,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FKiaSeltos.jpg?alt=media&token=3eba3d88-92f8-40f5-b840-d67d3e703a1d,w3PdZlyG4EnjLR6Ya4Bi,2021 1.6EX,SUV,"RM 115,888",100001<150000,0,0,0
dfICY3GcVX1iesklm2TU,Honda,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhonda.png?alt=media&token=302b0cf4-b48a-434e-abfc-d72d6615a20c,iRvj6H0q9seNMvzDCXZ1,Jazz,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHondaJazz.jpg?alt=media&token=481e2123-e675-494d-93c0-0c8f95ee8f89,8MCMqKZmgFO5yYPD3rji,2019 1.5 S,Hatchback,"RM 72,511",0<80000,0,0,0
dfICY3GcVX1iesklm2TU,Honda,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhonda.png?alt=media&token=302b0cf4-b48a-434e-abfc-d72d6615a20c,iRvj6H0q9seNMvzDCXZ1,Jazz,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHondaJazz.jpg?alt=media&token=481e2123-e675-494d-93c0-0c8f95ee8f89,RX04wAzXoHD2Ihntca22,2019 1.5 Hybrid,Hatchback,"RM 87,707",80001<100000,0,0,0
dfICY3GcVX1iesklm2TU,Honda,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhonda.png?alt=media&token=302b0cf4-b48a-434e-abfc-d72d6615a20c,srQwUTMxdMPVRgIleXLW,Civic,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHondaCivic.jpg?alt=media&token=81728357-33d9-40c7-9e7e-dd536b4b44d7,LW20wyJ4VOCO7iMOQc83,2020 1.8 S,Sedan,"RM 109,326",100001<150000,0,0,0
dfICY3GcVX1iesklm2TU,Honda,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhonda.png?alt=media&token=302b0cf4-b48a-434e-abfc-d72d6615a20c,srQwUTMxdMPVRgIleXLW,Civic,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHondaCivic.jpg?alt=media&token=81728357-33d9-40c7-9e7e-dd536b4b44d7,wtVOa5Mbzo1dkkb5yzPW,2020 1.5 TC,Sedan,"RM 125,081",100001<150000,0,0,0
dfICY3GcVX1iesklm2TU,Honda,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhonda.png?alt=media&token=302b0cf4-b48a-434e-abfc-d72d6615a20c,uNy3UT9ChYbVQjUoS1EW,Accord,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHondaAccord.jpg?alt=media&token=30177330-93cf-4c41-9167-90918817dfe5,5jAbJ6ddLH4JF6YeVCo8,2020 1.5TC Premium,Sedan,"RM 187,390",150001<200000,0,0,0
dfICY3GcVX1iesklm2TU,Honda,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Fhonda.png?alt=media&token=302b0cf4-b48a-434e-abfc-d72d6615a20c,uNy3UT9ChYbVQjUoS1EW,Accord,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FHondaAccord.jpg?alt=media&token=30177330-93cf-4c41-9167-90918817dfe5,WM9pyZnoUeqw7khwWGdr,2020 1.5TC,Sedan,"RM 178,203",150001<200000,0,0,0
hzm0ATvijsPs2g5YjwnT,Toyota,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Ftoyota.png?alt=media&token=31dbcafd-20f6-43c7-9636-fda9fbab40d5,GRjC1AQ2QME6K7bKczjl,Vios,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FToyotaVios.jpg?alt=media&token=77a52273-17ee-4d7b-99c3-d6d45134e72b,OIRgRQJ4TuE9r4pmIyAr,2021 1.5E,Sedan,"RM 82,593",80001<100000,0,0,0
hzm0ATvijsPs2g5YjwnT,Toyota,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Ftoyota.png?alt=media&token=31dbcafd-20f6-43c7-9636-fda9fbab40d5,GRjC1AQ2QME6K7bKczjl,Vios,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FToyotaVios.jpg?alt=media&token=77a52273-17ee-4d7b-99c3-d6d45134e72b,hnpwhhXWlQH2XxP4Qwn3,2021 1.5J,Sedan,"RM 74,623",0<80000,0,0,0
hzm0ATvijsPs2g5YjwnT,Toyota,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Ftoyota.png?alt=media&token=31dbcafd-20f6-43c7-9636-fda9fbab40d5,QNMgFNRJUiGKqhgLesnw,Hilux,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FToyotaHilux.jpg?alt=media&token=f3d43f92-df00-4efc-ba7c-436af8fc82a4,OF3WTJnru4iyfUk5YWw0,2020 Double Cab 2.8 Rogue AT 4X4,Pickup,"RM 146,880",100001<150000,0,0,0
hzm0ATvijsPs2g5YjwnT,Toyota,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Ftoyota.png?alt=media&token=31dbcafd-20f6-43c7-9636-fda9fbab40d5,QNMgFNRJUiGKqhgLesnw,Hilux,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FToyotaHilux.jpg?alt=media&token=f3d43f92-df00-4efc-ba7c-436af8fc82a4,VLQsAR480tLndzz4OAHT,2020 Double Cab 2.4G MT 4X4,Pickup,"RM 111,880",100001<150000,0,0,0
hzm0ATvijsPs2g5YjwnT,Toyota,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Ftoyota.png?alt=media&token=31dbcafd-20f6-43c7-9636-fda9fbab40d5,me1ixWWh0pwtJdkA3Roi,Yaris,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FToyotaYaris.jpg?alt=media&token=fe9cac1b-f3dc-4f48-83d3-9ddbeb3c5e49,8VUWS9onulZbcyoMKbzP,2021 1.5E,Hatchback,"RM 80,380",80001<100000,0,0,0
hzm0ATvijsPs2g5YjwnT,Toyota,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FbrandLogo%2Ftoyota.png?alt=media&token=31dbcafd-20f6-43c7-9636-fda9fbab40d5,me1ixWWh0pwtJdkA3Roi,Yaris,https://firebasestorage.googleapis.com/v0/b/carify-c094d.appspot.com/o/images%2FmodelLogo%2FToyotaYaris.jpg?alt=media&token=fe9cac1b-f3dc-4f48-83d3-9ddbeb3c5e49,y2MRtgwbuLtx7ABQzEKe,2021 1.5J,Hatchback,"RM 70,940",0<80000,0,0,0
